,tanggal,pm10,so2,co,o3,no2,max,critical,categori,location,pm25,no3
27,2021-07-28,82,53,18,40,45.0,145,PM25,TIDAK SEHAT,DKI4,145.0,
28,2021-07-29,78,52,18,53,39.0,140,PM25,TIDAK SEHAT,DKI5,140.0,
29,2021-07-30,90,54,15,81,35.0,154,PM25,TIDAK SEHAT,DKI4,154.0,
30,2021-07-31,63,50,18,65,29.0,100,PM26,SEDANG,DKI4,100.0,
0,2021-08-01,55,50,9,67,22.0,86,PM25,SEDANG,DKI4,86.0,
1,2021-08-02,52,50,10,59,28.0,81,PM25,SEDANG,DKI4,81.0,
2,2021-08-03,61,53,12,47,35.0,104,PM25,TIDAK SEHAT,DKI4,104.0,
3,2021-08-04,64,53,9,50,26.0,89,PM25,SEDANG,DKI2,89.0,
4,2021-08-05,61,55,11,58,27.0,90,PM25,SEDANG,DKI4,90.0,
5,2021-08-06,76,58,20,38,52.0,105,PM25,TIDAK SEHAT,DKI4,105.0,
6,2021-08-07,63,53,10,48,18.0,101,PM25,TIDAK SEHAT,DKI4,101.0,
7,2021-08-08,60,53,9,57,17.0,92,PM25,SEDANG,DKI4,92.0,
8,2021-08-09,56,52,8,57,16.0,82,PM25,SEDANG,DKI4,82.0,
9,2021-08-10,36,48,8,55,19.0,68,PM25,SEDANG,DKI4,68.0,
10,2021-08-11,61,50,12,59,25.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
11,2021-08-12,65,52,10,47,20.0,104,PM25,TIDAK SEHAT,DKI4,104.0,
12,2021-08-13,61,51,11,49,32.0,101,PM25,TIDAK SEHAT,DKI4,101.0,
13,2021-08-14,73,53,15,53,40.0,116,PM25,TIDAK SEHAT,DKI5,116.0,
14,2021-08-15,63,53,12,46,30.0,114,PM25,TIDAK SEHAT,DKI4,114.0,
15,2021-08-16,60,54,9,42,21.0,100,PM25,SEDANG,DKI4,100.0,
16,2021-08-17,62,51,13,40,22.0,103,PM25,TIDAK SEHAT,DKI4,103.0,
17,2021-08-18,62,51,11,42,26.0,97,PM25,SEDANG,DKI4,97.0,
18,2021-08-19,72,55,15,28,36.0,119,PM25,TIDAK SEHAT,DKI4,119.0,
19,2021-08-20,73,55,12,34,34.0,106,PM25,TIDAK SEHAT,DKI4,106.0,
20,2021-08-21,60,51,13,33,35.0,89,PM25,SEDANG,DKI5,89.0,
21,2021-08-22,74,52,14,29,29.0,134,PM25,TIDAK SEHAT,DKI4,134.0,
22,2021-08-23,66,52,13,33,27.0,106,PM25,TIDAK SEHAT,DKI4,106.0,
23,2021-08-24,69,52,12,41,30.0,110,PM25,TIDAK SEHAT,DKI4,110.0,
24,2021-08-25,69,51,12,38,34.0,106,PM25,TIDAK SEHAT,DKI4,106.0,
25,2021-08-26,64,51,10,31,33.0,96,PM25,SEDANG,DKI5,96.0,
26,2021-08-27,63,52,11,32,31.0,105,PM25,TIDAK SEHAT,DKI4,105.0,
27,2021-08-28,76,51,11,44,27.0,123,PM25,TIDAK SEHAT,DKI4,123.0,
28,2021-08-29,68,52,12,36,29.0,122,PM25,TIDAK SEHAT,DKI4,122.0,
29,2021-08-30,87,52,17,39,41.0,140,PM25,TIDAK SEHAT,DKI4,140.0,
30,2021-08-31,74,51,19,48,33.0,109,PM25,TIDAK SEHAT,DKI4,109.0,
0,2021-05-01,66,51,15,57,33.0,102,PM25,TIDAK SEHAT,DKI3,102.0,
1,2021-05-02,55,47,13,53,17.0,89,PM25,SEDANG,DKI4,89.0,
2,2021-05-03,61,50,10,51,20.0,95,PM25,SEDANG,DKI4,95.0,
3,2021-05-04,74,54,18,39,26.0,113,PM25,TIDAK SEHAT,DKI4,113.0,
4,2021-05-05,73,53,20,45,38.0,117,PM25,TIDAK SEHAT,DKI4,117.0,
5,2021-05-06,57,53,16,66,38.0,77,PM25,SEDANG,DKI4,77.0,
6,2021-05-07,67,61,26,151,45.0,151,O3,TIDAK SEHAT,DKI3,83.0,
7,2021-05-08,60,53,12,71,28.0,87,PM25,SEDANG,DKI4,87.0,
8,2021-05-09,46,46,9,61,21.0,66,PM25,SEDANG,DKI4,66.0,
9,2021-05-10,55,51,10,66,21.0,76,PM25,SEDANG,DKI3,76.0,
10,2021-05-11,69,50,12,57,24.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
11,2021-05-12,67,52,10,63,21.0,105,PM25,TIDAK SEHAT,DKI4,105.0,
12,2021-05-13,81,49,14,48,20.0,115,PM25,TIDAK SEHAT,DKI5,115.0,
13,2021-05-14,56,51,9,52,14.0,81,PM25,SEDANG,DKI5,81.0,
14,2021-05-15,62,54,11,40,19.0,89,PM25,SEDANG,DKI4,89.0,
15,2021-05-16,54,50,9,52,16.0,92,PM25,SEDANG,DKI4,92.0,
16,2021-05-17,54,55,11,51,24.0,75,PM25,SEDANG,DKI5,75.0,
17,2021-05-18,41,48,10,49,26.0,58,PM25,SEDANG,DKI3,58.0,
18,2021-05-19,61,52,17,55,36.0,99,PM25,SEDANG,DKI4,99.0,
19,2021-05-20,66,53,12,56,27.0,103,PM25,TIDAK SEHAT,DKI4,103.0,
20,2021-05-21,60,58,15,65,34.0,95,PM25,SEDANG,DKI4,95.0,
21,2021-05-22,64,62,16,66,36.0,90,PM25,SEDANG,DKI2,90.0,
22,2021-05-23,73,64,31,57,40.0,109,PM25,TIDAK SEHAT,DKI5,109.0,
23,2021-05-24,86,74,26,72,38.0,118,PM25,TIDAK SEHAT,DKI4,118.0,
24,2021-05-25,56,52,15,66,35.0,70,PM25,SEDANG,DKI5,70.0,
25,2021-05-26,62,52,12,64,24.0,93,PM25,SEDANG,DKI4,93.0,
26,2021-05-27,60,52,10,62,20.0,79,PM25,SEDANG,DKI4,79.0,
27,2021-05-28,66,53,12,63,24.0,93,PM25,SEDANG,DKI4,93.0,
28,2021-05-29,60,46,14,66,32.0,91,PM25,SEDANG,DKI4,91.0,
